Sensor,       place ,        Orbit direction,   Track,  Mode, bbox ,                 SLC,   acquisitions, Start date,  End date,    interferograms,      status ,                 Path on kunlun                                                  
Sentinel-1,   Chile ,        Asc ,              149,    IW,   -26.5 -18.7 -72 -65,   2314,  324,         20141027,    20240320,    3185,                isce+mintpy,             /home/eedy/data/chile/s1_a149                    
Sentinel-1,   Chile ,        Dsc ,              156,    IW,   -28.0 -20.0 -72 -65,   2589,  238,         20141016,    20240321,    2325,                isce+mintpy,             /home/eedy/data/chile/s1_d156                   
Sentinel-1,   USA ,          Asc ,              166,    IW,   32.0  40.0 -118 -113,  1235,  162,         20150403,    20211221,    1565,                isce2+mintpy,            /home/eedy/data/ion_los-angle/s1_a166          
Sentinel-1,   USA ,          Asc ,              64 ,    IW,   32.2  40.0 -120 -114,  2261,  296,         20150327,    20240408,    2905,                isce2+mintpy,            /home/eedy/data/ion_los-angle/s1_a064            
Sentinel-1,   USA ,          Dsc ,              173,    IW,   31.2  39.2 -118 -113,  1838,  285,         20150614,    20240322,    2795,                isce2+mintpy,            /home/eedy/data/ion_los-angle/s1_d173 
Sentinel-1,   USA ,          Asc ,              64 ,    IW,   31.0  47.0 -125 -113,  3382,     ,         20141010,    20240923,        ,                isce2+mintpy,            /home/eedy/data/ion_los-angle/s1_a064_longtrack            
,    ,         ,             ,   ,  , ,     ,       ,  ,        ,             ,                 
ALOS-2,       Japan,         Dsc ,                 ,    UBS,  31 33 130 131,         50,    50,          20150209,    20191111,    445,                 isce2+mintpy,            /home/eedy/data/Kyushu
ALOS-2,       Japan,         Dsc ,                 ,    UBS,  31 35 130 132,           ,      ,          2014    ,    2024    ,       ,                 isce2+mintpy,            /home/eedy/data/Japan 
ALOS-2,       USA ,          Dsc ,                 ,    SCAN, 32 40 -123 -117,       120,   60,          20150220,    20230519,    1770,                isce2+mintpy,            /home/eedy/scratch/liangcunren_alos2scan/alos2_d168_stack_2frames
ALOS-2,       USA ,          Dsc ,                 ,    SCAN, 32 48 -123 -117,       160,   32,          20150220,    20220909,    496,                 isce2+mintpy,            /home/eedy/scratch/liangcunren_alos2scan/alos2_d168_stack_5frames     
ALOS-1,       USA ,          Asc ,              213,    UBD,  33 40 -120 -110,       135,   9,           20070628,    20101121,    36,                  isce2+mintpy,            /home/eedy/data/ion_los-angle/alos_test_213             
ALOS-1,       Chile,         Asc ,              102,    FBD/FBS, -27 -23 -70 -67,    85,    17,          20070209,    20110220,      ,                              ,              
